"key","dogstatsd_relevant","reason"
"GUI_host","false","GUI web interface host, not DogStatsD"
"GUI_port","false","GUI web interface port, not DogStatsD"
"GUI_session_expiration","false","GUI session mgmt, not DogStatsD"
"See","false","YAML comment reference, not a real config key"
"ac_exclude","false","Autodiscovery container exclude for checks"
"ac_include","false","Autodiscovery container include for checks"
"ac_load_timeout","false","Autodiscovery load timeout for checks"
"ad_allowed_env_vars","false","Autodiscovery env var allow list for checks"
"ad_config_poll_interval","false","Autodiscovery config polling for checks"
"ad_disable_env_var_resolution","false","Autodiscovery env var resolution for checks"
"additional_checksd","false","Path for additional check configs, not DogStatsD"
"additional_endpoints","true","Dual-shipping endpoints used by metric forwarder"
"admission_controller.add_aks_selectors","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.cluster_agent.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.cluster_agent.tls_verification.copy_ca_configmap","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.cluster_agent.tls_verification.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.container_registry","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.image_name","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.image_tag","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.kubelet_api_logging.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.profiles","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.provider","false","prefix indicates non-DSD subsystem"
"admission_controller.agent_sidecar.selectors","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.body_parsing_size_limit","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.health_port","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.image","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.image_tag","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.port","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.resources.limits.cpu","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.resources.limits.memory","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.resources.requests.cpu","false","prefix indicates non-DSD subsystem"
"admission_controller.appsec.sidecar.resources.requests.memory","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.asm.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.asm_sca.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.container_registry","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.default_dd_registries","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.gradual_rollout.cache_ttl","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.gradual_rollout.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.iast.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.init_resources.cpu","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.init_resources.memory","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.init_security_context","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.inject_auto_detected_libraries","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.patcher.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.patcher.fallback_to_file_provider","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.patcher.file_provider_path","false","prefix indicates non-DSD subsystem"
"admission_controller.auto_instrumentation.profiling.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.certificate.expiration_threshold","false","prefix indicates non-DSD subsystem"
"admission_controller.certificate.secret_name","false","prefix indicates non-DSD subsystem"
"admission_controller.certificate.validity_bound","false","prefix indicates non-DSD subsystem"
"admission_controller.container_registry","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.command_endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.container_registry","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.exclude","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.image_name","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.image_tag","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.include","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.init_resources.cpu","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.init_resources.memory","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.mode","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.mutate_unlabelled","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.pod_endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.remote_copy.directory","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.remote_copy.mount_volume","false","prefix indicates non-DSD subsystem"
"admission_controller.cws_instrumentation.timeout","false","prefix indicates non-DSD subsystem"
"admission_controller.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.failure_policy","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.local_service_name","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.mode","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.socket_path","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_config.type_socket_volumes","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_tags.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_tags.endpoint","false","prefix indicates non-DSD subsystem"
"admission_controller.inject_tags.pod_owners_cache_validity","false","prefix indicates non-DSD subsystem"
"admission_controller.kubernetes_admission_events.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.mutate_unlabelled","false","prefix indicates non-DSD subsystem"
"admission_controller.mutation.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.namespace_selector_fallback","false","prefix indicates non-DSD subsystem"
"admission_controller.pod_owners_cache_validity","false","prefix indicates non-DSD subsystem"
"admission_controller.port","false","prefix indicates non-DSD subsystem"
"admission_controller.probe.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.probe.grace_period","false","prefix indicates non-DSD subsystem"
"admission_controller.probe.interval","false","prefix indicates non-DSD subsystem"
"admission_controller.reinvocation_policy","false","prefix indicates non-DSD subsystem"
"admission_controller.service_name","false","prefix indicates non-DSD subsystem"
"admission_controller.timeout_seconds","false","prefix indicates non-DSD subsystem"
"admission_controller.validation.enabled","false","prefix indicates non-DSD subsystem"
"admission_controller.webhook_name","false","prefix indicates non-DSD subsystem"
"agent_ipc.config_refresh_interval","false","Agent IPC refresh, not used in DSD path"
"agent_ipc.host","false","Agent IPC host, ref-impl only, not DSD"
"agent_ipc.port","false","Agent IPC port, ref-impl only, not DSD"
"agent_ipc.socket_path","false","Agent IPC socket, ref-impl only, not DSD"
"agent_ipc.use_socket","false","Agent IPC transport, ref-impl only, not DSD"
"agent_ipc_endpoint","true","Saluki remote agent client for tag enrichment"
"agent_telemetry.additional_endpoints","false","prefix indicates non-DSD subsystem"
"agent_telemetry.batch_max_concurrent_send","false","prefix indicates non-DSD subsystem"
"agent_telemetry.batch_max_content_size","false","prefix indicates non-DSD subsystem"
"agent_telemetry.batch_max_size","false","prefix indicates non-DSD subsystem"
"agent_telemetry.batch_wait","false","prefix indicates non-DSD subsystem"
"agent_telemetry.compression_kind","false","prefix indicates non-DSD subsystem"
"agent_telemetry.compression_level","false","prefix indicates non-DSD subsystem"
"agent_telemetry.connection_reset_interval","false","prefix indicates non-DSD subsystem"
"agent_telemetry.dd_url","false","prefix indicates non-DSD subsystem"
"agent_telemetry.dev_mode_no_ssl","false","prefix indicates non-DSD subsystem"
"agent_telemetry.enabled","false","prefix indicates non-DSD subsystem"
"agent_telemetry.input_chan_size","false","prefix indicates non-DSD subsystem"
"agent_telemetry.logs_dd_url","false","prefix indicates non-DSD subsystem"
"agent_telemetry.logs_no_ssl","false","prefix indicates non-DSD subsystem"
"agent_telemetry.sender_backoff_base","false","prefix indicates non-DSD subsystem"
"agent_telemetry.sender_backoff_factor","false","prefix indicates non-DSD subsystem"
"agent_telemetry.sender_backoff_max","false","prefix indicates non-DSD subsystem"
"agent_telemetry.sender_recovery_interval","false","prefix indicates non-DSD subsystem"
"agent_telemetry.sender_recovery_reset","false","prefix indicates non-DSD subsystem"
"agent_telemetry.startup_trace_sampling","false","prefix indicates non-DSD subsystem"
"agent_telemetry.use_compression","false","prefix indicates non-DSD subsystem"
"agent_telemetry.use_v2_api","false","prefix indicates non-DSD subsystem"
"agent_telemetry.zstd_compression_level","false","prefix indicates non-DSD subsystem"
"aggregate_context_limit","true","Saluki aggregation context limit for metrics"
"aggregate_flush_interval","true","Saluki aggregation flush interval for metrics"
"aggregate_flush_open_windows","true","Saluki aggregation flush-on-stop behavior"
"aggregate_passthrough_idle_flush_timeout","true","Saluki passthrough metric flush timeout"
"aggregate_window_duration","true","Saluki aggregation window size for metrics"
"aggregator_buffer_size","true","Ref-impl aggregator buffer affects DSD metrics"
"aggregator_flush_metrics_and_serialize_in_parallel_buffer_size","true","Ref-impl parallel flush buffer for metrics"
"aggregator_flush_metrics_and_serialize_in_parallel_chan_size","true","Ref-impl parallel flush channel for metrics"
"aggregator_stop_timeout","true","Ref-impl aggregator stop timeout affects flush"
"aggregator_use_tags_store","true","Ref-impl aggregator tag storage for metrics"
"allow_arbitrary_tags","true","Affects tag validation for all metrics incl DSD"
"allow_python_path_heuristics_failure","false","Python check path heuristics, not DogStatsD"
"allowed_additional_checks","false","Check scheduling allow list, not DogStatsD"
"api_key","true","API key for endpoint auth in metric forwarding"
"apm_config","false","APM trace agent config, not DogStatsD"
"apm_config.additional_endpoints","false","APM-specific additional endpoints"
"apm_config.additional_profile_tags","false","APM profiling tags, not DogStatsD"
"apm_config.analyzed_rate_by_service","false","APM trace analysis rates, not DogStatsD"
"apm_config.analyzed_spans","false","APM analyzed spans config, not DogStatsD"
"apm_config.apm_dd_url","false","APM endpoint URL, not DogStatsD"
"apm_config.apm_non_local_traffic","false","APM traffic binding, not DogStatsD"
"apm_config.bucket_size_seconds","false","APM stats bucket size, not DogStatsD"
"apm_config.client_stats_flush_interval","false","APM trace stats flush interval, not DogStatsD"
"apm_config.compute_stats_by_span_kind","false","APM span stats computation, not DogStatsD"
"apm_config.connection_limit","false","APM trace receiver connection limit"
"apm_config.connection_reset_interval","false","APM trace receiver connection reset"
"apm_config.dd_agent_bin","false","APM agent binary path, not DogStatsD"
"apm_config.debug","false","APM debug toggle, not DogStatsD"
"apm_config.debug.port","false","APM debug server port, not DogStatsD"
"apm_config.debug_v1_payloads","false","APM v1 payload debugging, not DogStatsD"
"apm_config.debugger_additional_endpoints","false","APM debugger endpoints, not DogStatsD"
"apm_config.debugger_api_key","false","APM debugger API key, not DogStatsD"
"apm_config.debugger_dd_url","false","APM debugger URL, not DogStatsD"
